game_id,season,week,date,home_team,away_team,neutral,official_model_spread,official_model_total,opening_spread,opening_total,current_market_total,closing_spread,closing_total,home_market_rating,home_market_rank,away_market_rating,away_market_rank,home_fundamental_rating,away_fundamental_rating,home_fundamental_minus_market,away_fundamental_minus_market,market_baseline_spread,home_raw_postgame_delta,away_raw_postgame_delta,raw_matchup_spread_delta,spread_components,missing_spread_components,away_spread_impact,home_spread_impact,applied_spread_delta,saturday_shadow_spread,expected_spread_clv,spread_status,market_baseline_total,market_baseline_total_source,raw_total_delta,total_components,missing_total_components,away_total_impact,home_total_impact,applied_total_delta,saturday_shadow_total,expected_total_clv,total_data_state,total_status,delta_source,component_source,spread_projected_market_value_score,total_projected_market_value_score,shadow_spread_formula,spread_projection_readiness,market_readiness_state,market_readiness_reason,away_component_status,home_component_status,away_predicted_sp_plus_change,home_predicted_sp_plus_change,away_update_state,home_update_state,completed_team_update_count,has_genuine_postgame_update,shadow_display_ready,shadow_activation_reason,shadow_status,shadow_missing_reasons,spread_impact,total_impact,spread_value_tier,spread_value_label,total_value_tier,total_value_label,current_model_spread,current_model_total,current_market_spread,predicted_market_rating_spread,predicted_updated_sp_plus_spread,predicted_sp_plus_component_total,raw_60_40_total,total_bias_correction,feature_cutoff,leave_one_out_component_size,away_all_board_market_rating,away_all_board_market_rank,away_market_games_in_rating,away_market_sample_status,away_sp_plus_entering,away_sp_plus_offense_entering,away_sp_plus_defense_entering,away_predicted_sp_plus_offense_change,away_predicted_sp_plus_defense_change,home_all_board_market_rating,home_all_board_market_rank,home_market_games_in_rating,home_market_sample_status,home_sp_plus_entering,home_sp_plus_offense_entering,home_sp_plus_defense_entering,home_predicted_sp_plus_offense_change,home_predicted_sp_plus_defense_change
g1,2026,0,2026-08-29,Eastern Michigan,Sacramento State,False,,51.8,,,,,,-0.079603989313846,50.0,-1.2436531836274962,65.0,-15.303,-17.4333,-5.379851598877686,,-3.66404919431365,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -10.2}",[],,,,,,Awaiting completed game,53.5,current_market_total,,"{'predicted_sp_plus_component_total': 49.848075993373754, 'existing_projected_total': 51.8}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,51.8,,,-10.2,49.848075993373754,50.62884559602425,-1.1573,,0.0,-1.2436531836274962,65.0,1.0,early_one_game,-22.7,15.1,37.9,0.0,0.0,-0.079603989313846,50.0,2.0,early_limited,-15.0,17.8,32.8,0.0,0.0
g2,2026,0,2026-08-29,Florida State,New Mexico State,False,,50.35,,,,,,1.4328900382638057,33.0,-6.259664683892287,97.0,8.657,-17.4105,-0.5253011119161215,-4.766741198030465,-10.192554722156093,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -27.7}",[],,,,,,Awaiting completed game,53.5,current_market_total,,"{'predicted_sp_plus_component_total': 49.58329914164556, 'existing_projected_total': 50.35}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,50.35,,,-27.7,49.58329914164556,49.889979484987336,-1.1573,,0.0,-6.259664683892287,97.0,1.0,early_one_game,-16.4,17.0,33.4,0.0,0.0,1.4328900382638057,33.0,3.0,connected_low_sample,8.8,29.7,20.6,0.0,0.0
g3,2026,0,2026-08-29,North Dakota State,Jacksonville State,False,,53.5,,,,,,0.9833960169682934,42.0,-0.9833960169684866,60.0,-4.1667,-9.423,,-2.94769173545568,-4.46679203393678,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -8.8}",[],,,,,,Awaiting completed game,48.5,current_market_total,,"{'predicted_sp_plus_component_total': 52.63040206806784, 'existing_projected_total': 53.5}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,53.5,,,-8.8,52.63040206806784,52.9782412408407,-1.1573,,0.0,-0.9833960169684866,60.0,1.0,disconnected_component,-7.7,24.8,32.0,0.0,0.0,0.9833960169682934,42.0,1.0,disconnected_component,-1.4,24.4,25.8,0.0,0.0
g4,2026,0,2026-08-29,Stanford,Hawaii,False,,50.9,,,,,,-4.43830050550365,88.0,-1.8348696819266752,68.0,-3.008,-4.028,6.735815455213015,,0.10343082357697497,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -4.5}",[],,,,,,Awaiting completed game,50.5,current_market_total,,"{'predicted_sp_plus_component_total': 49.558977360146436, 'existing_projected_total': 50.9}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,50.9,,,-4.5,49.558977360146436,50.09538641608786,-1.1573,,0.0,-1.8348696819266752,68.0,2.0,early_limited,-3.9,25.3,29.8,0.0,0.0,-4.43830050550365,88.0,2.0,early_limited,-1.9,22.7,24.0,0.0,0.0
g5,2026,0,2026-08-29,TCU,North Carolina,True,,49.4,,,,,,0.7867168135746173,44.0,-0.7867168135748083,56.0,8.9095,1.9295,2.5609830664322164,6.27359648402056,-1.5734336271494256,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -5.3}",[],,,,,,Awaiting completed game,49.5,current_market_total,,"{'predicted_sp_plus_component_total': 48.59878635483477, 'existing_projected_total': 49.4}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,49.4,,,-5.3,48.59878635483477,48.91927181290086,-1.1573,,0.0,-0.7867168135748083,56.0,1.0,disconnected_component,3.8,24.5,21.1,0.0,0.0,0.7867168135746173,44.0,1.0,disconnected_component,9.1,31.3,21.9,0.0,0.0
g6,2026,0,2026-08-29,UNLV,Memphis,False,,58.95,,,,,,1.2796957739658583,36.0,1.1707361758600476,37.0,0.3445,-1.253,1.4997484351805794,-5.052491146188437,-2.6089595981058107,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -6.4}",[],,,,,,Awaiting completed game,59.0,current_market_total,,"{'predicted_sp_plus_component_total': 59.3900333728497, 'existing_projected_total': 58.95}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,58.95,,,-6.4,59.3900333728497,59.21402002370982,-1.1573,,0.0,1.1707361758600476,37.0,2.0,early_limited,-1.1,28.3,30.0,0.0,0.0,1.2796957739658583,36.0,2.0,early_limited,2.8,31.2,28.4,0.0,0.0
g7,2026,0,2026-08-29,USC,San Jose State,False,,55.2,,,,,,9.222045101780534,2.0,-4.822340470276317,89.0,17.9595,-14.4105,6.681653430794746,,-16.54438557205685,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -34.8}",[],,,,,,Awaiting completed game,58.5,current_market_total,,"{'predicted_sp_plus_component_total': 55.83735558834205, 'existing_projected_total': 55.2}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,55.2,,,-34.8,55.83735558834205,55.582413353005236,-1.1573,,0.0,-4.822340470276317,89.0,2.0,early_limited,-15.5,18.6,33.6,0.0,0.0,9.222045101780534,2.0,2.0,early_limited,16.8,37.7,20.5,0.0,0.0
g8,2026,0,2026-08-29,Virginia,NC State,True,,51.1,,,,,,0.5900376101810759,46.0,-0.5900376101810966,55.0,8.267,4.6645,4.131314662622538,3.029844502231674,-1.1800752203621725,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': -1.6999999999999993}",[],,,,,,Awaiting completed game,54.5,current_market_total,,"{'predicted_sp_plus_component_total': 50.248074808538796, 'existing_projected_total': 51.1}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,SP+ Fallback,market_context_only,market_context_only,target exclusion leaves one or both teams without independent connected market support,preseason_baseline,preseason_baseline,0.0,0.0,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,51.1,,,-1.6999999999999993,50.248074808538796,50.58884488512328,-1.1573,,0.0,-0.5900376101810966,55.0,1.0,disconnected_component,4.9,30.7,25.3,0.0,0.0,0.5900376101810759,46.0,1.0,disconnected_component,6.6,26.3,19.9,0.0,0.0
g9,2026,1,2026-09-03,Buffalo,UAlbany,False,,,,,,,,,,,,-13.403,,-9.062653854992064,,,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': None}",[],,,,,,Awaiting completed game,,missing,,"{'predicted_sp_plus_component_total': None, 'existing_projected_total': None}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,,,,,,,,,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g10,2026,1,2026-09-03,Central Florida,Bethune-Cookman,False,,,,,,,,,,,,1.862,,,,,,,,"{'predicted_market_rating_spread': None, 'predicted_updated_sp_plus_spread': None}",[],,,,,,Awaiting completed game,,missing,,"{'predicted_sp_plus_component_total': None, 'existing_projected_total': None}",[],,,,,,,Awaiting completed game,data/site/postgame_shadow_replay.json,data/site/saturday_shadow_component_predictions.json,,,,,,,,,,,baseline_only,baseline_only,0,False,False,awaiting_completed_game,Awaiting completed game,[],,,,Unavailable,,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
