snapshot_at,season_phase,bets,open,settled,exposure,realized_profit,current_clv_matched,current_clv_positive,pct_bets_beating_current_clv,avg_line_clv_current,avg_price_clv_current_pp,total_ev_current_dollars,avg_ev_current_dollars,avg_ev_current_pct
2026-06-30T12:16:45,Preseason,26,26,0,2028.5,0.0,24,14,0.5833,0.071,1.301,44.14,1.84,0.0243
2026-06-30T16:04:09,Preseason,26,26,0,2028.5,0.0,26,14,0.5385,0.062,1.201,44.14,1.7,0.0225
2026-06-30T21:14:57,Preseason,26,26,0,2028.5,0.0,26,14,0.5385,0.062,1.201,44.14,1.7,0.0225
2026-06-30T21:19:25,Preseason,26,26,0,2028.5,0.0,26,11,0.4231,0.062,0.262,0.39,0.01,0.0061
2026-06-30T21:24:34,Preseason,26,26,0,2028.5,0.0,26,11,0.4231,0.062,0.262,0.39,0.01,0.0061
2026-06-30T21:55:49,Preseason,26,26,0,2028.5,0.0,26,11,0.4231,0.062,0.262,0.39,0.01,0.0061
2026-06-30T22:09:18,Preseason,26,26,0,2028.5,0.0,26,11,0.4231,0.062,0.262,0.39,0.01,0.0061
2026-06-30T22:11:20,Preseason,26,26,0,2028.5,0.0,26,11,0.4231,0.062,0.262,0.39,0.01,0.0061
2026-07-01T08:38:41,Preseason,26,26,0,2028.5,0.0,26,12,0.4615,0.062,0.599,17.63,0.68,0.0129
2026-07-01T11:57:34,Preseason,26,26,0,2028.5,0.0,26,12,0.4615,0.062,0.599,17.66,0.68,0.0129
2026-07-01T12:14:25,Preseason,26,26,0,2028.5,0.0,26,12,0.4615,0.062,0.607,17.9,0.69,0.013
2026-07-01T12:30:44,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T12:33:09,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T12:39:27,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T12:41:13,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T12:57:28,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T14:08:56,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T14:57:51,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T15:57:01,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-01T16:08:40,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.694,22.0,0.85,0.0149
2026-07-02T08:15:05,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.716,23.16,0.89,0.0158
2026-07-03T01:04:50,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.716,23.16,0.89,0.0158
2026-07-03T08:05:10,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.716,23.16,0.89,0.0158
2026-07-04T08:04:53,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.716,23.16,0.89,0.0158
2026-07-05T08:27:20,Preseason,29,29,0,2363.5,0.0,26,12,0.4615,0.062,0.635,20.65,0.79,0.0144
