snapshot_ts,source,date,away_team,home_team,game_key,book,market,line,price,provider_open_line,provider_open_price,provider_close_line,provider_close_price,book_last_updated,available,canonical_game_id,side,source_updated_at,ingestion_timestamp,paired_market_id,neutral_site,state_id
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,BetMGM,spread,-6.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,BetMGM,total,49.5,-105.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,FanDuel,spread,-6.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,FanDuel,total,48.5,-115.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,Caesars,spread,-6.5,-113.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,Caesars,total,49.0,-106.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,DraftKings,spread,-6.5,-112.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,North Carolina,TCU,2026-08-29|north carolina|tcu,DraftKings,total,49.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,BetMGM,spread,-35.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,BetMGM,total,55.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,FanDuel,spread,-35.5,-105.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,FanDuel,total,58.5,-115.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,Caesars,spread,-35.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,Caesars,total,58.5,-112.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,DraftKings,spread,-35.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,San Jose State,USC,2026-08-29|san jose state|usc,DraftKings,total,58.5,-112.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,NC State,Virginia,2026-08-29|nc state|virginia,BetMGM,spread,-5.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,NC State,Virginia,2026-08-29|nc state|virginia,BetMGM,total,54.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,NC State,Virginia,2026-08-29|nc state|virginia,FanDuel,spread,-5.5,-112.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,NC State,Virginia,2026-08-29|nc state|virginia,FanDuel,total,54.5,-110.0,,,,,,,,,,,,,
2026-07-17T05:24:54+00:00,Action Network,2026-08-29,NC State,Virginia,2026-08-29|nc state|virginia,Caesars,spread,-5.5,-112.0,,,,,,,,,,,,,
